north_count,south_count,east_count,west_count,north_wait,south_wait,east_wait,west_wait,north_density,south_density,east_density,west_density,emergency_active,peak_factor,target_phase,target_timing_north,target_timing_south,target_timing_east,target_timing_west,target_risk,scenario
15,44,46,33,19.92,26.58,27.17,39.41,15.0,44.0,46.0,33.0,1.0,0.5,2,15.0,15.0,60.0,15.0,2,emergency
22,24,2,4,5.9,14.81,23.53,18.01,22.0,24.0,2.0,4.0,0.0,0.27,1,25.28,28.92,16.41,17.5,0,balanced
16,23,24,3,7.85,8.79,9.42,21.52,16.0,23.0,24.0,3.0,0.0,0.14,2,23.02,26.8,27.5,17.07,0,balanced
11,14,89,55,15.93,20.91,136.22,66.5,11.0,14.0,89.0,55.0,0.0,0.85,2,16.13,16.61,58.6,28.65,2,evening_rush
5,12,80,45,4.2,18.11,65.77,56.84,5.0,12.0,80.0,45.0,0.0,0.83,2,15.75,17.5,52.88,33.87,2,evening_rush
7,21,86,71,10.21,22.85,77.54,86.46,7.0,21.0,86.0,71.0,0.0,0.93,2,15.76,18.04,44.4,41.81,2,evening_rush
6,8,5,7,3.19,14.22,14.43,16.66,6.0,8.0,5.0,7.0,0.0,0.32,1,17.61,19.55,17.86,19.22,0,balanced
39,28,26,28,23.17,12.35,10.76,38.88,39.0,28.0,26.0,28.0,1.0,0.5,0,60.0,15.0,15.0,15.0,2,emergency
68,71,60,60,88.66,66.38,50.33,60.12,68.0,71.0,60.0,60.0,0.0,1.0,0,35.16,31.24,25.96,27.63,2,gridlock
20,35,58,24,117.29,96.16,77.25,89.16,20.0,35.0,58.0,24.0,0.0,0.6,2,26.29,31.28,37.03,25.4,1,storm
13,18,62,34,11.38,18.88,98.18,31.97,13.0,18.0,62.0,34.0,0.0,0.71,2,17.4,18.96,58.81,24.83,1,evening_rush
9,11,70,62,10.55,14.52,58.69,96.68,9.0,11.0,70.0,62.0,0.0,0.97,3,16.25,16.68,38.97,48.1,1,evening_rush
11,20,2,6,17.73,16.16,23.71,23.72,11.0,20.0,2.0,6.0,0.0,0.36,1,21.03,25.57,16.25,18.75,0,balanced
8,16,84,64,10.52,18.67,103.87,99.4,8.0,16.0,84.0,64.0,0.0,0.82,2,15.77,16.86,48.16,39.22,2,evening_rush
19,38,22,21,13.02,10.55,12.83,30.49,19.0,38.0,22.0,21.0,1.0,0.5,1,15.0,60.0,15.0,15.0,2,emergency
9,11,3,20,8.48,4.72,18.02,16.47,9.0,11.0,3.0,20.0,0.0,0.36,3,19.56,20.09,16.91,27.28,0,balanced
9,8,44,66,12.6,11.56,70.07,74.59,9.0,8.0,44.0,66.0,0.0,0.81,3,16.65,16.43,37.02,49.9,1,evening_rush
12,9,46,78,16.13,12.53,45.57,85.97,12.0,9.0,46.0,78.0,0.0,0.86,3,17.14,16.47,29.53,56.87,2,evening_rush
59,51,17,15,51.92,42.98,26.64,22.17,59.0,51.0,17.0,15.0,0.0,0.81,0,43.79,36.61,20.33,19.28,1,morning_rush
40,28,25,14,18.8,19.86,30.18,32.57,40.0,28.0,25.0,14.0,1.0,0.5,0,60.0,15.0,15.0,15.0,2,emergency
13,11,79,82,15.54,9.31,97.93,94.56,13.0,11.0,79.0,82.0,0.0,0.97,3,16.37,16.0,43.76,43.87,2,evening_rush
52,76,16,13,73.28,98.39,14.09,11.27,52.0,76.0,16.0,13.0,0.0,0.91,1,34.26,51.94,17.16,16.64,2,morning_rush
19,3,6,6,7.36,15.37,21.85,22.25,19.0,3.0,6.0,6.0,0.0,0.17,0,23.58,16.64,18.81,18.84,0,balanced
23,55,25,50,102.98,91.58,127.56,77.36,23.0,55.0,25.0,50.0,0.0,0.6,1,24.76,35.87,28.12,31.24,1,storm
37,74,17,6,43.47,62.53,15.22,5.36,37.0,74.0,17.0,6.0,0.0,0.89,1,30.04,54.92,18.94,16.1,1,morning_rush
17,21,59,62,16.64,32.98,47.77,97.71,17.0,21.0,59.0,62.0,0.0,0.71,3,17.82,19.9,32.75,49.53,1,evening_rush
80,70,96,95,100.92,146.62,97.54,109.23,80.0,70.0,96.0,95.0,0.0,1.0,3,27.72,31.19,29.77,31.32,2,gridlock
19,5,87,83,24.08,7.6,72.76,85.06,19.0,5.0,87.0,83.0,0.0,0.99,3,17.72,15.49,42.06,44.73,2,evening_rush
71,83,87,67,58.66,111.15,82.71,65.23,71.0,83.0,87.0,67.0,0.0,1.0,1,25.4,36.71,32.17,25.72,2,gridlock
6,10,5,23,2.74,8.43,11.46,15.86,6.0,10.0,5.0,23.0,0.0,0.18,3,17.52,19.82,17.6,28.26,0,balanced
4,7,19,20,18.69,16.11,11.62,23.45,4.0,7.0,19.0,20.0,0.0,0.36,3,17.27,18.74,24.12,27.58,0,balanced
24,2,23,2,13.05,24.66,10.66,19.24,24.0,2.0,23.0,2.0,0.0,0.22,0,27.88,16.39,26.65,16.24,0,balanced
72,92,93,94,54.72,41.5,48.29,116.09,72.0,92.0,93.0,94.0,0.0,1.0,3,25.37,25.77,27.16,41.7,2,gridlock
39,67,7,9,49.46,92.52,9.84,9.92,39.0,67.0,7.0,9.0,0.0,0.77,1,29.53,57.75,16.19,16.53,1,morning_rush
2,20,14,14,6.77,22.2,19.41,3.08,2.0,20.0,14.0,14.0,0.0,0.18,1,15.84,27.12,22.98,20.41,0,balanced
3,23,23,4,13.96,21.6,14.69,14.9,3.0,23.0,23.0,4.0,0.0,0.36,1,16.52,28.9,26.88,17.08,0,balanced
82,76,19,9,106.29,103.61,18.44,8.18,82.0,76.0,19.0,9.0,0.0,0.7,0,45.08,42.19,16.99,15.74,2,morning_rush
68,47,19,15,59.35,64.91,23.52,17.41,68.0,47.0,19.0,15.0,0.0,0.97,0,45.0,37.34,19.53,18.13,1,morning_rush
11,20,18,6,20.32,12.56,21.37,19.69,11.0,20.0,18.0,6.0,0.0,0.12,2,21.02,24.15,25.08,18.24,0,balanced
7,22,3,14,6.81,15.33,9.86,14.36,7.0,22.0,3.0,14.0,0.0,0.24,1,18.19,27.32,16.47,22.66,0,balanced
15,20,42,33,14.18,21.53,63.73,38.91,15.0,20.0,42.0,33.0,0.0,0.9,2,19.61,22.27,46.27,31.85,0,evening_rush
20,20,22,6,9.94,10.0,2.73,14.62,20.0,20.0,22.0,6.0,0.0,0.26,1,26.24,26.25,25.39,18.77,0,balanced
80,63,21,18,85.13,66.61,18.35,21.33,80.0,63.0,21.0,18.0,0.0,0.91,0,48.15,35.98,18.06,17.81,2,morning_rush
77,77,21,14,115.09,66.81,26.83,22.25,77.0,77.0,21.0,14.0,0.0,0.86,0,49.45,35.78,17.97,16.8,2,morning_rush
33,45,47,42,108.44,129.26,56.86,66.25,33.0,45.0,47.0,42.0,0.0,0.6,1,29.18,38.05,26.3,26.47,1,storm
4,16,24,15,19.24,2.7,21.95,10.15,4.0,16.0,24.0,15.0,0.0,0.22,2,17.4,21.48,30.29,22.27,0,balanced
24,6,11,8,9.41,6.86,9.53,4.75,24.0,6.0,11.0,8.0,0.0,0.37,0,28.65,18.21,21.28,19.06,0,balanced
8,14,37,70,9.59,12.17,45.5,88.86,8.0,14.0,37.0,70.0,0.0,0.92,3,16.36,17.53,27.99,58.13,1,evening_rush
53,71,13,9,57.79,93.49,16.34,9.76,53.0,71.0,13.0,9.0,0.0,1.0,1,33.56,53.03,17.14,16.27,1,morning_rush
5,10,40,84,5.95,14.81,34.81,121.35,5.0,10.0,40.0,84.0,0.0,0.72,3,15.55,16.37,23.3,60.0,2,evening_rush
62,90,96,95,149.7,138.63,103.36,140.91,62.0,90.0,96.0,95.0,0.0,1.0,3,27.38,31.6,28.2,32.82,2,gridlock
23,18,7,20,20.88,18.52,14.31,12.96,23.0,18.0,7.0,20.0,0.0,0.35,0,28.77,25.23,18.61,24.98,0,balanced
23,5,20,21,13.68,7.58,4.64,16.04,23.0,5.0,20.0,21.0,0.0,0.19,0,27.78,17.39,23.92,27.34,0,balanced
15,8,47,72,19.13,8.76,54.68,89.2,15.0,8.0,47.0,72.0,0.0,0.86,3,17.81,16.17,31.76,54.27,1,evening_rush
9,3,21,2,5.19,2.06,4.68,12.88,9.0,3.0,21.0,2.0,0.0,0.28,2,19.89,16.52,26.27,16.31,0,balanced
19,21,39,73,21.41,32.47,62.12,70.37,19.0,21.0,39.0,73.0,0.0,0.81,3,18.97,20.5,31.39,49.13,1,evening_rush
41,48,27,30,137.48,72.18,68.0,68.07,41.0,48.0,27.0,30.0,0.0,0.6,0,40.61,31.16,23.63,24.6,1,storm
73,85,63,84,136.49,83.17,129.83,88.3,73.0,85.0,63.0,84.0,0.0,1.0,0,33.25,28.1,29.96,28.69,2,gridlock
85,67,5,11,97.83,84.55,5.42,12.25,85.0,67.0,5.0,11.0,0.0,0.86,0,49.58,38.76,15.46,16.2,2,morning_rush
9,20,8,20,11.93,9.65,18.8,17.96,9.0,20.0,8.0,20.0,0.0,0.15,3,19.44,24.34,19.64,26.37,0,balanced
92,89,86,95,149.75,122.76,117.77,125.64,92.0,89.0,86.0,95.0,0.0,1.0,0,32.74,29.0,27.97,30.29,2,gridlock
5,23,3,11,13.36,19.36,4.37,14.34,5.0,23.0,3.0,11.0,0.0,0.21,1,17.48,28.1,16.19,20.58,0,balanced
86,44,12,9,102.26,49.6,17.01,7.29,86.0,44.0,12.0,9.0,0.0,0.88,0,59.91,27.22,16.8,16.07,2,morning_rush
14,15,61,34,20.46,23.51,65.52,33.38,14.0,15.0,61.0,34.0,0.0,0.83,2,19.09,19.69,53.28,27.94,1,evening_rush
12,13,14,9,13.64,16.06,2.42,22.06,12.0,13.0,14.0,9.0,0.0,0.38,1,21.77,22.77,21.03,21.16,0,balanced
8,9,90,66,10.93,8.3,113.49,84.83,8.0,9.0,90.0,66.0,0.0,0.83,2,15.75,15.79,52.6,35.86,2,evening_rush
12,13,56,40,13.93,11.58,88.92,58.84,12.0,13.0,56.0,40.0,0.0,0.74,2,17.41,17.47,51.83,33.3,1,evening_rush
59,34,40,28,131.87,72.61,136.66,116.41,59.0,34.0,40.0,28.0,0.0,0.6,0,39.51,22.99,32.24,25.26,1,storm
21,12,7,3,12.71,13.06,23.12,15.5,21.0,12.0,7.0,3.0,0.0,0.11,0,25.32,20.95,19.36,16.58,0,balanced
43,44,26,25,53.73,84.26,135.85,80.53,43.0,44.0,26.0,25.0,0.0,0.6,1,27.65,34.04,32.94,25.38,1,storm
19,22,18,8,24.44,12.56,14.82,21.79,19.0,22.0,18.0,8.0,0.0,0.26,0,26.85,25.49,24.06,19.72,0,balanced
8,2,14,24,11.82,20.39,10.04,12.77,8.0,2.0,14.0,24.0,0.0,0.29,3,19.31,16.31,22.22,28.23,0,balanced
50,69,23,6,51.76,94.62,28.11,7.37,50.0,69.0,23.0,6.0,0.0,0.84,1,31.28,52.94,19.97,15.81,1,morning_rush
85,33,5,12,126.6,51.38,5.49,12.2,85.0,33.0,5.0,12.0,0.0,0.89,0,60.0,23.51,15.51,16.45,2,morning_rush
57,57,22,11,75.65,46.84,21.51,10.83,57.0,57.0,22.0,11.0,0.0,0.9,0,46.57,36.3,20.13,17.0,1,morning_rush
23,16,6,4,22.41,14.8,18.58,20.52,23.0,16.0,6.0,4.0,0.0,0.4,0,28.76,23.06,18.3,17.3,0,balanced
18,15,50,33,28.0,13.69,56.26,34.95,18.0,15.0,50.0,33.0,0.0,0.73,2,22.33,19.46,47.85,30.36,1,evening_rush
5,23,82,48,6.33,26.15,124.16,69.79,5.0,23.0,82.0,48.0,0.0,0.8,2,15.47,18.4,56.89,29.24,2,evening_rush
3,4,24,24,8.17,16.36,11.42,14.7,3.0,4.0,24.0,24.0,0.0,0.23,3,16.42,17.31,27.33,28.34,0,balanced
21,23,13,18,21.97,13.21,22.57,20.4,21.0,23.0,13.0,18.0,0.0,0.23,0,26.95,25.71,22.5,24.9,0,balanced
15,10,9,3,16.57,7.93,5.21,21.2,15.0,10.0,9.0,3.0,0.0,0.4,0,24.32,20.05,19.25,17.07,0,balanced
79,63,9,15,115.19,77.09,13.07,17.98,79.0,63.0,9.0,15.0,0.0,0.72,0,52.01,35.17,15.98,16.84,2,morning_rush
72,41,14,10,65.48,62.32,20.99,12.78,72.0,41.0,14.0,10.0,0.0,0.88,0,50.46,34.37,18.25,16.92,1,morning_rush
11,14,79,46,12.49,15.49,96.0,38.53,11.0,14.0,79.0,46.0,0.0,0.75,2,16.68,17.29,58.96,27.06,2,evening_rush
7,8,85,55,5.98,11.76,97.73,84.28,7.0,8.0,85.0,55.0,0.0,0.92,2,15.71,15.93,52.34,36.02,2,evening_rush
10,6,89,76,15.63,5.45,105.64,77.21,10.0,6.0,89.0,76.0,0.0,0.86,2,16.08,15.51,50.7,37.72,2,evening_rush
21,12,18,14,5.56,16.34,12.91,9.92,21.0,12.0,18.0,14.0,0.0,0.21,2,24.83,22.29,25.08,22.3,0,balanced
77,69,14,13,76.78,100.41,20.15,17.62,77.0,69.0,14.0,13.0,0.0,0.78,1,41.22,45.17,16.92,16.68,2,morning_rush
7,9,78,78,6.37,14.04,90.23,73.95,7.0,9.0,78.0,78.0,0.0,0.86,2,15.71,16.1,46.73,41.46,2,evening_rush
67,90,80,76,112.47,116.15,133.41,67.46,67.0,90.0,80.0,76.0,0.0,1.0,2,28.3,33.45,33.86,24.39,2,gridlock
49,55,13,17,65.46,45.94,16.52,27.19,49.0,55.0,13.0,17.0,0.0,0.87,0,42.95,38.67,18.16,20.21,1,morning_rush
41,43,19,9,56.78,41.03,16.95,10.24,41.0,43.0,19.0,9.0,0.0,0.94,0,43.09,38.06,21.31,17.55,0,morning_rush
8,11,69,47,9.74,14.47,91.09,51.31,8.0,11.0,69.0,47.0,0.0,0.87,2,16.25,16.93,55.14,31.67,1,evening_rush
37,66,15,12,42.65,74.16,18.87,17.32,37.0,66.0,15.0,12.0,0.0,0.86,1,29.17,54.42,18.62,17.79,1,morning_rush
17,22,67,45,19.4,33.03,75.98,52.63,17.0,22.0,67.0,45.0,0.0,1.0,2,18.44,20.9,48.92,31.74,1,evening_rush
14,14,19,4,3.61,2.22,3.21,4.04,14.0,14.0,19.0,4.0,0.0,0.11,2,22.32,22.09,24.84,17.11,0,balanced
50,73,19,13,70.73,82.8,21.6,18.07,50.0,73.0,19.0,13.0,0.0,0.77,1,35.28,49.09,18.45,17.18,1,morning_rush
15,19,5,19,7.37,2.97,2.41,24.72,15.0,19.0,5.0,19.0,0.0,0.23,3,22.16,23.16,17.12,28.54,0,balanced
58,33,16,15,90.48,47.16,13.94,17.01,58.0,33.0,16.0,15.0,0.0,0.96,0,55.17,28.15,18.33,18.35,1,morning_rush
30,32,53,44,131.77,57.15,94.17,142.16,30.0,32.0,53.0,44.0,0.0,0.6,3,28.8,21.8,32.51,36.88,1,storm
20,14,15,11,3.08,10.83,2.84,24.02,20.0,14.0,15.0,11.0,0.0,0.35,0,24.5,23.02,22.09,23.52,0,balanced
82,68,94,79,149.44,59.13,83.59,123.41,82.0,68.0,94.0,79.0,0.0,1.0,0,36.55,22.46,28.94,32.06,2,gridlock
12,7,66,64,11.75,6.85,81.15,81.56,12.0,7.0,66.0,64.0,0.0,0.87,2,16.67,15.86,44.11,43.36,1,evening_rush
10,4,10,4,23.98,21.83,20.62,17.07,10.0,4.0,10.0,4.0,0.0,0.27,0,20.69,17.17,20.29,16.95,0,balanced
16,7,9,6,3.12,14.25,24.13,4.52,16.0,7.0,9.0,6.0,0.0,0.37,0,22.33,19.2,21.73,17.84,0,balanced
49,41,38,12,20.43,30.34,26.97,18.01,49.0,41.0,38.0,12.0,1.0,0.5,0,60.0,15.0,15.0,15.0,2,emergency
78,75,87,92,57.31,57.64,76.74,66.26,78.0,75.0,87.0,92.0,0.0,1.0,2,27.69,27.26,33.16,31.89,2,gridlock
55,46,57,26,146.98,155.74,101.2,146.7,55.0,46.0,57.0,26.0,0.0,0.6,0,34.53,32.35,28.91,24.21,1,storm
12,22,8,19,20.81,21.14,13.67,2.15,12.0,22.0,8.0,19.0,0.0,0.19,1,22.27,28.42,19.11,22.4,0,balanced
5,13,51,69,5.04,16.99,62.83,98.25,5.0,13.0,51.0,69.0,0.0,0.73,3,15.62,17.15,33.92,53.31,1,evening_rush
14,13,66,63,15.03,16.98,102.01,55.57,14.0,13.0,66.0,63.0,0.0,0.98,2,17.09,17.03,50.9,34.97,1,evening_rush
6,8,61,46,8.5,10.93,71.91,38.93,6.0,8.0,61.0,46.0,0.0,0.72,2,16.24,16.76,53.87,33.13,1,evening_rush
73,88,71,95,111.23,105.38,82.2,47.22,73.0,88.0,71.0,95.0,0.0,1.0,1,32.21,34.67,27.55,25.57,2,gridlock
74,91,70,82,89.05,70.1,149.68,86.88,74.0,91.0,70.0,82.0,0.0,1.0,2,27.88,27.76,35.4,28.95,2,gridlock
73,44,15,8,107.45,62.4,14.76,7.24,73.0,44.0,15.0,8.0,0.0,0.96,0,56.54,30.26,17.22,15.98,1,morning_rush
37,38,30,25,35.72,38.94,32.8,23.27,37.0,38.0,30.0,25.0,1.0,0.5,1,15.0,60.0,15.0,15.0,2,emergency
72,44,6,17,69.14,65.76,8.23,21.25,72.0,44.0,6.0,17.0,0.0,0.84,0,49.88,35.42,15.97,18.73,1,morning_rush
80,54,21,17,113.7,76.5,30.99,23.95,80.0,54.0,21.0,17.0,0.0,0.89,0,52.05,32.19,18.38,17.38,2,morning_rush
22,4,21,15,12.63,2.03,15.76,15.97,22.0,4.0,21.0,15.0,0.0,0.17,2,26.22,16.58,26.54,23.28,0,balanced
13,6,58,37,13.63,6.99,46.94,31.74,13.0,6.0,58.0,37.0,0.0,0.82,2,19.23,16.66,51.32,32.78,1,evening_rush
65,67,15,17,91.37,104.66,22.89,23.45,65.0,67.0,15.0,17.0,0.0,0.92,1,40.48,44.92,17.14,17.46,1,morning_rush
13,15,16,17,13.09,6.84,9.96,19.84,13.0,15.0,16.0,17.0,0.0,0.38,3,22.3,22.23,23.32,26.15,0,balanced
2,2,10,14,3.9,20.96,10.23,9.41,2.0,2.0,10.0,14.0,0.0,0.39,3,15.96,16.44,20.59,22.67,0,balanced
19,16,3,11,5.85,4.41,16.64,18.25,19.0,16.0,3.0,11.0,0.0,0.11,0,24.05,22.36,16.85,22.05,0,balanced
58,50,51,31,145.81,128.55,138.19,87.34,58.0,50.0,51.0,31.0,0.0,0.6,0,35.61,30.61,32.14,21.64,1,storm
66,70,79,75,100.24,129.9,89.76,110.79,66.0,70.0,79.0,75.0,0.0,1.0,1,27.76,32.5,28.75,30.99,2,gridlock
76,43,15,6,64.47,42.9,13.91,8.98,76.0,43.0,15.0,6.0,0.0,0.77,0,54.47,31.24,18.17,16.12,2,morning_rush
45,17,38,41,24.95,26.66,31.58,16.85,45.0,17.0,38.0,41.0,1.0,0.5,0,60.0,15.0,15.0,15.0,2,emergency
12,37,19,44,16.62,22.55,16.11,35.21,12.0,37.0,19.0,44.0,1.0,0.5,3,15.0,15.0,15.0,60.0,2,emergency
22,21,6,5,18.91,19.66,13.61,14.5,22.0,21.0,6.0,5.0,0.0,0.25,0,27.02,26.67,17.9,17.47,0,balanced
14,6,70,31,17.89,8.61,92.68,49.4,14.0,6.0,70.0,31.0,0.0,0.79,2,17.87,15.99,59.63,26.51,1,evening_rush
37,74,22,12,54.35,73.16,31.26,13.49,37.0,74.0,22.0,12.0,0.0,0.88,1,29.56,52.37,20.88,17.19,1,morning_rush
18,18,36,84,20.35,15.4,41.39,73.74,18.0,18.0,36.0,84.0,0.0,0.82,3,18.74,18.34,26.26,56.65,2,evening_rush
11,24,36,68,10.24,26.71,56.72,68.44,11.0,24.0,36.0,68.0,0.0,0.9,3,17.03,21.42,31.06,50.49,1,evening_rush
74,41,8,17,73.23,40.5,12.06,19.61,74.0,41.0,8.0,17.0,0.0,0.8,0,55.56,29.05,16.53,18.87,1,morning_rush
46,59,13,5,53.34,74.95,20.27,5.01,46.0,59.0,13.0,5.0,0.0,0.81,1,35.66,50.27,18.21,15.86,1,morning_rush
77,66,19,9,94.46,94.08,25.92,10.41,77.0,66.0,19.0,9.0,0.0,0.96,0,45.34,40.9,17.82,15.94,2,morning_rush
15,24,84,43,12.69,29.4,130.14,35.75,15.0,24.0,84.0,43.0,0.0,0.74,2,16.69,18.91,60.0,22.9,2,evening_rush
87,34,5,5,110.29,45.92,5.59,5.92,87.0,34.0,5.0,5.0,0.0,0.91,0,60.0,24.07,15.58,15.58,2,morning_rush
19,8,16,12,13.24,17.34,5.21,2.69,19.0,8.0,16.0,12.0,0.0,0.19,0,26.0,20.1,22.61,20.38,0,balanced
14,12,84,50,12.25,16.06,97.02,74.73,14.0,12.0,84.0,50.0,0.0,0.75,2,16.74,16.63,53.59,33.05,2,evening_rush
11,15,44,59,13.18,19.41,65.79,74.13,11.0,15.0,44.0,59.0,0.0,0.71,3,17.15,18.39,36.89,47.57,1,evening_rush
23,52,20,38,153.5,140.95,123.37,113.49,23.0,52.0,20.0,38.0,0.0,0.6,1,27.05,39.94,23.37,29.64,1,storm
36,79,10,19,56.94,88.92,14.97,27.09,36.0,79.0,10.0,19.0,0.0,0.87,1,27.8,56.48,16.64,19.07,2,morning_rush
8,6,72,75,12.32,6.9,109.52,112.67,8.0,6.0,72.0,75.0,0.0,0.8,3,15.76,15.5,43.36,45.38,1,evening_rush
60,83,66,84,76.12,109.32,107.08,101.98,60.0,83.0,66.0,84.0,0.0,1.0,1,24.53,33.52,29.43,32.52,2,gridlock
63,54,5,5,77.9,62.4,4.06,6.35,63.0,54.0,5.0,5.0,0.0,0.75,0,49.27,39.22,15.74,15.78,1,morning_rush
6,18,43,32,7.4,28.1,63.54,49.0,6.0,18.0,43.0,32.0,0.0,0.94,2,16.56,22.47,46.77,34.2,0,evening_rush
6,3,17,6,7.66,12.96,11.07,14.64,6.0,3.0,17.0,6.0,0.0,0.32,2,18.01,16.71,24.27,18.56,0,balanced
15,17,55,52,17.17,25.8,47.14,81.31,15.0,17.0,55.0,52.0,0.0,0.9,3,18.23,19.42,36.03,46.32,1,evening_rush
38,50,17,10,36.31,46.65,22.0,12.18,38.0,50.0,17.0,10.0,0.0,0.9,1,34.59,45.71,21.6,18.1,1,morning_rush
47,54,27,35,59.86,128.94,93.99,157.44,47.0,54.0,27.0,35.0,0.0,0.6,1,24.89,38.16,23.49,33.46,1,storm
89,70,66,90,134.54,127.98,60.3,72.48,89.0,70.0,66.0,90.0,0.0,1.0,0,37.58,31.88,22.92,27.63,2,gridlock
17,14,90,65,19.37,12.17,130.73,71.42,17.0,14.0,90.0,65.0,0.0,0.86,2,16.81,16.26,55.48,31.44,2,evening_rush
14,24,23,23,13.85,15.65,20.26,16.87,14.0,24.0,23.0,23.0,0.0,0.15,2,21.8,27.17,27.95,27.0,0,balanced
76,37,20,5,75.2,52.7,20.4,7.29,76.0,37.0,20.0,5.0,0.0,0.83,0,55.27,29.55,19.37,15.8,2,morning_rush
6,23,70,39,6.97,29.19,65.41,54.19,6.0,23.0,70.0,39.0,0.0,0.96,2,16.03,21.53,50.49,31.94,1,evening_rush
18,23,17,6,16.77,15.96,14.57,7.33,18.0,23.0,17.0,6.0,0.0,0.22,1,24.97,27.51,23.95,17.65,0,balanced
18,6,69,36,24.41,6.74,78.84,49.47,18.0,6.0,69.0,36.0,0.0,0.91,2,19.53,16.0,55.25,29.22,1,evening_rush
28,13,35,47,27.35,18.22,12.38,12.57,28.0,13.0,35.0,47.0,1.0,0.5,3,15.0,15.0,15.0,60.0,2,emergency
